component,column_system_id,column_category,column_type,manufacturer,material_family,construction_method,section_type,column_role,unit,column_height,column_width,column_depth,axial_capacity,moment_capacity,maximum_story_count,slenderness_limit,fire_rating,material_concrete_id,material_pt_id,material_rebar_id,material_steel_id,material_timber_id,material_fireproofing_id,is_composite,requires_rebar,requires_pt,requires_encasement,requires_fireproofing,supports_floor_types,supports_beam_types,supports_low_rise,supports_mid_rise,supports_high_rise,concrete_volume,steel_volume,rebar_volume,pt_volume,timber_volume,source,notes,notes.1,shape_key,A_in2,d_in,bf_in,tw_in,Ix_in4,Zx_in3,Sx_in3,rx_in,Iy_in4,Zy_in3,Sy_in3,ry_in,source_standard,source_format,native_unit_system,A_mm2,d_mm,bf_mm,tw_mm,Ix_mm4,Zx_mm3,Sx_mm3,rx_mm,Iy_mm4,Zy_mm3,Sy_mm3,ry_mm,Av_mm2,shape_family,section_designation,mass_kg_m,tf_mm,r_mm,d_between_fillets_mm,A_cm2
column,aisc_w1000x591,steel_section,W1000X591,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.341864,3.412073,23442.75,1697.4,15.6285,37.83783783783784,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.812675,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X591,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,75500.0,1040.0,409.0,31.0,13300000000.0,29500000.0,25600000.0,422.0,641000000.0,4920000.0,3130000.0,92.5,32240.0,,,,,,,
column,aisc_w1000x554,steel_section,W1000X554,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.341864,3.379265,22045.5,1566.3,14.697,38.29321663019694,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.764238,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X554,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,71000.0,1030.0,409.0,29.5,12300000000.0,27500000.0,23900000.0,419.0,591000000.0,4540000.0,2900000.0,91.4,30385.0,,,,,,,
column,aisc_w1000x539,steel_section,W1000X539,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.332021,3.379265,21238.2,1524.9,14.158800000000001,38.29321663019694,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.736251,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X539,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,68400.0,1030.0,406.0,28.4,12000000000.0,26900000.0,23300000.0,419.0,574000000.0,4420000.0,2830000.0,91.4,29252.0,,,,,,,
column,aisc_w1000x483,steel_section,W1000X483,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.325459,3.346457,19095.75,1352.4,12.7305,38.503850385038504,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.66198,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X483,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,61500.0,1020.0,404.0,25.4,10700000000.0,23900000.0,21000000.0,417.0,508000000.0,3920000.0,2510000.0,90.9,25908.0,,,,,,,
column,aisc_w1000x443,steel_section,W1000X443,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,3.313648,17481.15,1214.4,11.654100000000001,38.9321468298109,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.606008,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X443,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,56300.0,1010.0,401.0,23.6,9660000000.0,21800000.0,19200000.0,414.0,454000000.0,3520000.0,2260000.0,89.9,23836.0,,,,,,,
column,aisc_w1000x412,steel_section,W1000X412,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,3.313648,16332.300000000001,1152.3,10.888200000000001,38.503850385038504,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.566182,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X412,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,52600.0,1010.0,401.0,21.1,9120000000.0,20500000.0,18000000.0,417.0,433000000.0,3340000.0,2160000.0,90.9,21311.0,,,,,,,
column,aisc_w1000x371,steel_section,W1000X371,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,3.28084,14717.7,1028.1,9.8118,38.80266075388027,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.510209,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X371,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,47400.0,1000.0,401.0,19.1,8160000000.0,18400000.0,16300000.0,414.0,385000000.0,2980000.0,1930000.0,90.2,19100.0,,,,,,,
column,aisc_w1000x321,steel_section,W1000X321,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,3.251312,12730.5,883.2,8.487,38.9321468298109,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.44132,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X321,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,41000.0,991.0,401.0,16.5,6950000000.0,15800000.0,14100000.0,411.0,334000000.0,2560000.0,1660000.0,89.9,16351.5,,,,,,,
column,aisc_w1000x296,steel_section,W1000X296,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.315617,3.225066,11767.95,776.25,7.845300000000001,39.95433789954338,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.407952,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X296,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,37900.0,983.0,401.0,16.5,6200000000.0,14200000.0,12600000.0,406.0,289000000.0,2250000.0,1450000.0,87.6,16219.5,,,,,,,
column,aisc_w1000x584,steel_section,W1000X584,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.033465,3.47769,23225.4,1197.15,15.483600000000001,52.16095380029807,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.80514,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X584,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,74800.0,1060.0,315.0,36.1,12400000000.0,28000000.0,23600000.0,409.0,334000000.0,3470000.0,2130000.0,67.1,38266.0,,,,,,,
column,aisc_w1000x494,steel_section,W1000X494,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.01706,3.412073,19561.5,972.9,13.041,53.59877488514549,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.678126,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X494,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,63000.0,1040.0,310.0,31.0,10300000000.0,23400000.0,19800000.0,404.0,268000000.0,2820000.0,1740000.0,65.3,32240.0,,,,,,,
column,aisc_w1000x486,steel_section,W1000X486,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.007218,3.412073,19219.95,962.55,12.8133,53.43511450381679,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.666286,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X486,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,61900.0,1040.0,307.0,30.0,10200000000.0,23100000.0,19700000.0,406.0,266000000.0,2790000.0,1720000.0,65.5,31200.0,,,,,,,
column,aisc_w1000x438,steel_section,W1000X438,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.000656,3.379265,17263.8,848.7,11.5092,54.01234567901235,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.598473,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X438,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,55600.0,1030.0,305.0,26.9,9120000000.0,20800000.0,17700000.0,404.0,234000000.0,2460000.0,1530000.0,64.8,27707.0,,,,,,,
column,aisc_w1000x415,steel_section,W1000X415,AISC,steel,hot_rolled,W,rolled_i_section,ft,,1.000656,3.346457,16487.55,790.05,10.9917,54.6875,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.571564,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X415,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,53100.0,1020.0,305.0,26.2,8530000000.0,19500000.0,16700000.0,401.0,217000000.0,2290000.0,1430000.0,64.0,26724.0,,,,,,,
column,aisc_w1000x393,steel_section,W1000X393,AISC,steel,hot_rolled,W,rolled_i_section,ft,,0.990814,3.346457,15493.95,745.2,10.3293,54.6875,,,,,us_steel_20,,,False,False,False,False,False,,,True,True,True,0.0,0.537119,0.0,0.0,0.0,aisc_column_sections_edac.csv,"Intrinsic section properties only from AISC Shapes Database v16.0. Capacities intentionally left blank. steel_volume is m3 per linear metre. Geometry stored in metres. Imperial version: dimensional fields converted to feet; steel_volume is ft^3 per linear ft.  Reference steel column capacity basis (AISC): reference height=3.5 m; K=1; reference story load=1500 kN/story; default fy=AISC 345.0 MPa; output units=kN, kN·m. axial_capacity = conservative concept-stage buckling-reduced axial capacity; moment_capacity = minor-axis proxy if available; maximum_story_count = axial_capacity / reference_story_load; slenderness_limit = KL/r at the reference height.",,W1000X393,,,,,,,,,,,,,AISC,AISC_v16_metric,metric,49900.0,1020.0,302.0,24.4,8070000000.0,18500000.0,15900000.0,401.0,205000000.0,2160000.0,1350000.0,64.0,24888.0,,,,,,,
