component,lateral_system_id,lateral_category,lateral_type,manufacturer,material_family,construction_method,lateral_mechanism,lateral_type,unit,wall_thickness,frame_depth,bay_width_default,core_area_ratio_default,core_perimeter_ratio_default,axial_capacity,moment_capacity,maximum_story_count,slenderness_limit,fire_rating,material_concrete_id,material_rebar_id,material_steel_id,material_timber_id,material_fireproofing_id,supports_low_rise,supports_mid_rise,supports_high_rise,drift_efficiency,fire_rating,concrete_volume,steel_volume,rebar_volume,timber_volume,source,notes
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.003,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.0035,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,200,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,350,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_200x2500,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,200,,2500,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.5,,0.004,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_250x3000,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,250,,3000,,,,300,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.75,,0.0045,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
lateral,ec_shear_wall_250x3000,cast_in_place,shear_wall,generic,concrete,cast_in_place,wall,shear_wall,metric,250,,3000,,,,500,,,,concrete,rebar,,,,TRUE,TRUE,FALSE,,,0.75,,0.0045,,Expanded EC2 example catalog,"Screening-level RC wall/core check using wide-section flexure, in-plane shear stress, and axial compression limits."
