component,system_id,category,type,span_behavior,manufacturer,unit,length,width,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,material_concrete_id,material_screed_id,material_pt_id,material_rebar_id,material_steel_id,material_timber_id,ebc_mm,beam_ref,concrete_volume,screed_volume,steel_volume,rebar_volume,pt_volume,timber_volume,source
floor,bison_bb_rdj4,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.1,1.8,2.5,4.9,concrete,screed,,rebar,,,615,RDJ4,0.0875,0.075,,0.002625,,,
floor,bison_bb_rdj4,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.1,1.8,3,4.75,concrete,screed,,rebar,,,615,RDJ4,0.0875,0.075,,0.002625,,,
floor,bison_bb_rdj4,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.1,1.8,4,4.4,concrete,screed,,rebar,,,615,RDJ4,0.0875,0.075,,0.002625,,,
floor,bison_bb_rdj4,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.1,1.8,5,4.15,concrete,screed,,rebar,,,615,RDJ4,0.0875,0.075,,0.002625,,,
floor,bison_bb_rdj5,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.25,1.8,1.5,5.85,concrete,screed,,rebar,,,503,RDJ5,0.09375,0.075,,0.0028125,,,
floor,bison_bb_rdj5,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.25,1.8,2,5.6,concrete,screed,,rebar,,,503,RDJ5,0.09375,0.075,,0.0028125,,,
floor,bison_bb_rdj5,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.25,1.8,2.5,5.4,concrete,screed,,rebar,,,503,RDJ5,0.09375,0.075,,0.0028125,,,
floor,bison_bb_rdj5,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.25,1.8,3,5.2,concrete,screed,,rebar,,,503,RDJ5,0.09375,0.075,,0.0028125,,,
floor,bison_bb_rdj5,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.25,1.8,4,4.85,concrete,screed,,rebar,,,503,RDJ5,0.09375,0.075,,0.0028125,,,
floor,bison_bb_rdj5,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.25,1.8,5,4.55,concrete,screed,,rebar,,,503,RDJ5,0.09375,0.075,,0.0028125,,,
floor,bison_bb_rdj6,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.47,1.8,1.5,6.45,concrete,screed,,rebar,,,390,RDJ6,0.10291667,0.075,,0.0030875,,,
floor,bison_bb_rdj6,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.47,1.8,2,6.25,concrete,screed,,rebar,,,390,RDJ6,0.10291667,0.075,,0.0030875,,,
floor,bison_bb_rdj6,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.47,1.8,2.5,6.05,concrete,screed,,rebar,,,390,RDJ6,0.10291667,0.075,,0.0030875,,,
floor,bison_bb_rdj6,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.47,1.8,3,5.8,concrete,screed,,rebar,,,390,RDJ6,0.10291667,0.075,,0.0030875,,,
floor,bison_bb_rdj6,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.47,1.8,4,5.45,concrete,screed,,rebar,,,390,RDJ6,0.10291667,0.075,,0.0030875,,,
floor,bison_bb_rdj6,precast,beam_block,one-way,bison,metric,,0.215,0.15,0.1,0.075,,2.47,1.8,5,5.15,concrete,screed,,rebar,,,390,RDJ6,0.10291667,0.075,,0.0030875,,,
floor,bison_bb_tj1,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.3,1.8,1.5,6.45,concrete,screed,,rebar,,,535,TJ1,0.09583333,0.075,,0.002875,,,
floor,bison_bb_tj1,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.3,1.8,2,6.15,concrete,screed,,rebar,,,535,TJ1,0.09583333,0.075,,0.002875,,,
floor,bison_bb_tj1,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.3,1.8,2.5,5.9,concrete,screed,,rebar,,,535,TJ1,0.09583333,0.075,,0.002875,,,
floor,bison_bb_tj1,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.3,1.8,3,5.7,concrete,screed,,rebar,,,535,TJ1,0.09583333,0.075,,0.002875,,,
floor,bison_bb_tj1,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.3,1.8,4,5.35,concrete,screed,,rebar,,,535,TJ1,0.09583333,0.075,,0.002875,,,
floor,bison_bb_tj1,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.3,1.8,5,5,concrete,screed,,rebar,,,535,TJ1,0.09583333,0.075,,0.002875,,,
floor,bison_bb_tj2,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.51,1.8,1.5,7.1,concrete,screed,,rebar,,,422,TJ2,0.10458333,0.075,,0.0031375,,,
floor,bison_bb_tj2,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.51,1.8,2,6.8,concrete,screed,,rebar,,,422,TJ2,0.10458333,0.075,,0.0031375,,,
floor,bison_bb_tj2,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.51,1.8,2.5,6.55,concrete,screed,,rebar,,,422,TJ2,0.10458333,0.075,,0.0031375,,,
floor,bison_bb_tj2,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.51,1.8,3,6.35,concrete,screed,,rebar,,,422,TJ2,0.10458333,0.075,,0.0031375,,,
floor,bison_bb_tj2,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.51,1.8,4,5.95,concrete,screed,,rebar,,,422,TJ2,0.10458333,0.075,,0.0031375,,,
floor,bison_bb_tj2,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.51,1.8,5,5.6,concrete,screed,,rebar,,,422,TJ2,0.10458333,0.075,,0.0031375,,,
floor,bison_bb_tj3,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.89,1.8,1.5,7.75,concrete,screed,,rebar,,,310,TJ3,0.12041667,0.075,,0.0036125,,,
floor,bison_bb_tj3,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.89,1.8,2,7.75,concrete,screed,,rebar,,,310,TJ3,0.12041667,0.075,,0.0036125,,,
floor,bison_bb_tj3,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.89,1.8,2.5,7.45,concrete,screed,,rebar,,,310,TJ3,0.12041667,0.075,,0.0036125,,,
floor,bison_bb_tj3,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.89,1.8,3,7.2,concrete,screed,,rebar,,,310,TJ3,0.12041667,0.075,,0.0036125,,,
floor,bison_bb_tj3,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.89,1.8,4,6.8,concrete,screed,,rebar,,,310,TJ3,0.12041667,0.075,,0.0036125,,,
floor,bison_bb_tj3,precast,beam_block,one-way,bison,metric,,0.135,0.225,0.1,0.075,,2.89,1.8,5,6.4,concrete,screed,,rebar,,,310,TJ3,0.12041667,0.075,,0.0036125,,,
floor,cemex_bb_155_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,1.5,4.48,concrete,screed,,rebar,,,520,CEMEX_155_A,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,2,4.36,concrete,screed,,rebar,,,520,CEMEX_155_A,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,2.5,4.25,concrete,screed,,rebar,,,520,CEMEX_155_A,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,3,4.15,concrete,screed,,rebar,,,520,CEMEX_155_A,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,4,3.905,concrete,screed,,rebar,,,520,CEMEX_155_A,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,5,3.66,concrete,screed,,rebar,,,520,CEMEX_155_A,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.6,1.56,1.5,5.73,concrete,screed,,rebar,,,295,CEMEX_155_B,0.10833333,0.065,,0.00325,,,
floor,cemex_bb_155_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.6,1.56,2,5.61,concrete,screed,,rebar,,,295,CEMEX_155_B,0.10833333,0.065,,0.00325,,,
floor,cemex_bb_155_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.6,1.56,2.5,5.48,concrete,screed,,rebar,,,295,CEMEX_155_B,0.10833333,0.065,,0.00325,,,
floor,cemex_bb_155_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.6,1.56,3,5.36,concrete,screed,,rebar,,,295,CEMEX_155_B,0.10833333,0.065,,0.00325,,,
floor,cemex_bb_155_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.6,1.56,4,5.09,concrete,screed,,rebar,,,295,CEMEX_155_B,0.10833333,0.065,,0.00325,,,
floor,cemex_bb_155_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.6,1.56,5,4.78,concrete,screed,,rebar,,,295,CEMEX_155_B,0.10833333,0.065,,0.00325,,,
floor,cemex_bb_155_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.39,1.56,1.5,4.995,concrete,screed,,rebar,,,408,CEMEX_155_C,0.09958333,0.065,,0.0029875,,,
floor,cemex_bb_155_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.39,1.56,2,4.865,concrete,screed,,rebar,,,408,CEMEX_155_C,0.09958333,0.065,,0.0029875,,,
floor,cemex_bb_155_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.39,1.56,2.5,4.748,concrete,screed,,rebar,,,408,CEMEX_155_C,0.09958333,0.065,,0.0029875,,,
floor,cemex_bb_155_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.39,1.56,3,4.64,concrete,screed,,rebar,,,408,CEMEX_155_C,0.09958333,0.065,,0.0029875,,,
floor,cemex_bb_155_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.39,1.56,4,4.378,concrete,screed,,rebar,,,408,CEMEX_155_C,0.09958333,0.065,,0.0029875,,,
floor,cemex_bb_155_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.39,1.56,5,4.105,concrete,screed,,rebar,,,408,CEMEX_155_C,0.09958333,0.065,,0.0029875,,,
floor,cemex_bb_155_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.57,1.56,1.5,5.52,concrete,screed,,rebar,,,324,CEMEX_155_D,0.10708333,0.065,,0.0032125,,,
floor,cemex_bb_155_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.57,1.56,2,5.37,concrete,screed,,rebar,,,324,CEMEX_155_D,0.10708333,0.065,,0.0032125,,,
floor,cemex_bb_155_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.57,1.56,2.5,5.244,concrete,screed,,rebar,,,324,CEMEX_155_D,0.10708333,0.065,,0.0032125,,,
floor,cemex_bb_155_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.57,1.56,3,5.13,concrete,screed,,rebar,,,324,CEMEX_155_D,0.10708333,0.065,,0.0032125,,,
floor,cemex_bb_155_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.57,1.56,4,4.874,concrete,screed,,rebar,,,324,CEMEX_155_D,0.10708333,0.065,,0.0032125,,,
floor,cemex_bb_155_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.57,1.56,5,4.574,concrete,screed,,rebar,,,324,CEMEX_155_D,0.10708333,0.065,,0.0032125,,,
floor,cemex_bb_155_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.95,1.56,1.5,5.9,concrete,screed,,rebar,,,211,CEMEX_155_E,0.12291667,0.065,,0.0036875,,,
floor,cemex_bb_155_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.95,1.56,2,5.9,concrete,screed,,rebar,,,211,CEMEX_155_E,0.12291667,0.065,,0.0036875,,,
floor,cemex_bb_155_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.95,1.56,2.5,5.9,concrete,screed,,rebar,,,211,CEMEX_155_E,0.12291667,0.065,,0.0036875,,,
floor,cemex_bb_155_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.95,1.56,3,5.9,concrete,screed,,rebar,,,211,CEMEX_155_E,0.12291667,0.065,,0.0036875,,,
floor,cemex_bb_155_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.95,1.56,4,5.83,concrete,screed,,rebar,,,211,CEMEX_155_E,0.12291667,0.065,,0.0036875,,,
floor,cemex_bb_155_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.95,1.56,5,5.564,concrete,screed,,rebar,,,211,CEMEX_155_E,0.12291667,0.065,,0.0036875,,,
floor,cemex_bb_155_1450_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,1.91,1.56,1.5,4.67,concrete,screed,,rebar,,,520,CEMEX_155_1450_A,0.07958333,0.065,,0.0023875,,,
floor,cemex_bb_155_1450_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,1.91,1.56,2,4.54,concrete,screed,,rebar,,,520,CEMEX_155_1450_A,0.07958333,0.065,,0.0023875,,,
floor,cemex_bb_155_1450_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,1.91,1.56,2.5,4.42,concrete,screed,,rebar,,,520,CEMEX_155_1450_A,0.07958333,0.065,,0.0023875,,,
floor,cemex_bb_155_1450_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,1.91,1.56,3,4.306,concrete,screed,,rebar,,,520,CEMEX_155_1450_A,0.07958333,0.065,,0.0023875,,,
floor,cemex_bb_155_1450_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,1.91,1.56,4,3.99,concrete,screed,,rebar,,,520,CEMEX_155_1450_A,0.07958333,0.065,,0.0023875,,,
floor,cemex_bb_155_1450_a,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,1.91,1.56,5,3.73,concrete,screed,,rebar,,,520,CEMEX_155_1450_A,0.07958333,0.065,,0.0023875,,,
floor,cemex_bb_155_1450_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,1.5,5.9,concrete,screed,,rebar,,,295,CEMEX_155_1450_B,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_1450_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,2,5.78,concrete,screed,,rebar,,,295,CEMEX_155_1450_B,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_1450_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,2.5,5.65,concrete,screed,,rebar,,,295,CEMEX_155_1450_B,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_1450_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,3,5.517,concrete,screed,,rebar,,,295,CEMEX_155_1450_B,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_1450_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,4,5.185,concrete,screed,,rebar,,,295,CEMEX_155_1450_B,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_1450_b,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.28,1.56,5,4.858,concrete,screed,,rebar,,,295,CEMEX_155_1450_B,0.095,0.065,,0.00285,,,
floor,cemex_bb_155_1450_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.04,1.56,1.5,5.195,concrete,screed,,rebar,,,408,CEMEX_155_1450_C,0.085,0.065,,0.00255,,,
floor,cemex_bb_155_1450_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.04,1.56,2,5.05,concrete,screed,,rebar,,,408,CEMEX_155_1450_C,0.085,0.065,,0.00255,,,
floor,cemex_bb_155_1450_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.04,1.56,2.5,4.92,concrete,screed,,rebar,,,408,CEMEX_155_1450_C,0.085,0.065,,0.00255,,,
floor,cemex_bb_155_1450_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.04,1.56,3,4.8,concrete,screed,,rebar,,,408,CEMEX_155_1450_C,0.085,0.065,,0.00255,,,
floor,cemex_bb_155_1450_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.04,1.56,4,4.47,concrete,screed,,rebar,,,408,CEMEX_155_1450_C,0.085,0.065,,0.00255,,,
floor,cemex_bb_155_1450_c,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.04,1.56,5,4.18,concrete,screed,,rebar,,,408,CEMEX_155_1450_C,0.085,0.065,,0.00255,,,
floor,cemex_bb_155_1450_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.27,1.56,1.5,5.684,concrete,screed,,rebar,,,324,CEMEX_155_1450_D,0.09458333,0.065,,0.0028375,,,
floor,cemex_bb_155_1450_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.27,1.56,2,5.538,concrete,screed,,rebar,,,324,CEMEX_155_1450_D,0.09458333,0.065,,0.0028375,,,
floor,cemex_bb_155_1450_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.27,1.56,2.5,5.404,concrete,screed,,rebar,,,324,CEMEX_155_1450_D,0.09458333,0.065,,0.0028375,,,
floor,cemex_bb_155_1450_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.27,1.56,3,5.28,concrete,screed,,rebar,,,324,CEMEX_155_1450_D,0.09458333,0.065,,0.0028375,,,
floor,cemex_bb_155_1450_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.27,1.56,4,4.96,concrete,screed,,rebar,,,324,CEMEX_155_1450_D,0.09458333,0.065,,0.0028375,,,
floor,cemex_bb_155_1450_d,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.27,1.56,5,4.644,concrete,screed,,rebar,,,324,CEMEX_155_1450_D,0.09458333,0.065,,0.0028375,,,
floor,cemex_bb_155_1450_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.72,1.56,1.5,5.9,concrete,screed,,rebar,,,211,CEMEX_155_1450_E,0.11333333,0.065,,0.0034,,,
floor,cemex_bb_155_1450_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.72,1.56,2,5.9,concrete,screed,,rebar,,,211,CEMEX_155_1450_E,0.11333333,0.065,,0.0034,,,
floor,cemex_bb_155_1450_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.72,1.56,2.5,5.9,concrete,screed,,rebar,,,211,CEMEX_155_1450_E,0.11333333,0.065,,0.0034,,,
floor,cemex_bb_155_1450_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.72,1.56,3,5.9,concrete,screed,,rebar,,,211,CEMEX_155_1450_E,0.11333333,0.065,,0.0034,,,
floor,cemex_bb_155_1450_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.72,1.56,4,5.9,concrete,screed,,rebar,,,211,CEMEX_155_1450_E,0.11333333,0.065,,0.0034,,,
floor,cemex_bb_155_1450_e,precast,beam_block,one-way,cemex,metric,,0.1,0.155,0.1,0.065,,2.72,1.56,5,5.63,concrete,screed,,rebar,,,211,CEMEX_155_1450_E,0.11333333,0.065,,0.0034,,,
floor,cemex_bb_225_1900_a,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,2.82,1.56,1.5,6.408,concrete,screed,,rebar,,,520,CEMEX_225_1900_A,0.1175,0.065,,0.003525,,,
floor,cemex_bb_225_1900_a,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,2.82,1.56,2,6.257,concrete,screed,,rebar,,,520,CEMEX_225_1900_A,0.1175,0.065,,0.003525,,,
floor,cemex_bb_225_1900_a,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,2.82,1.56,2.5,6.117,concrete,screed,,rebar,,,520,CEMEX_225_1900_A,0.1175,0.065,,0.003525,,,
floor,cemex_bb_225_1900_a,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,2.82,1.56,3,5.985,concrete,screed,,rebar,,,520,CEMEX_225_1900_A,0.1175,0.065,,0.003525,,,
floor,cemex_bb_225_1900_a,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,2.82,1.56,4,5.697,concrete,screed,,rebar,,,520,CEMEX_225_1900_A,0.1175,0.065,,0.003525,,,
floor,cemex_bb_225_1900_a,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,2.82,1.56,5,5.358,concrete,screed,,rebar,,,520,CEMEX_225_1900_A,0.1175,0.065,,0.003525,,,
floor,cemex_bb_225_1900_b,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,3.5,1.56,1.5,7.874,concrete,screed,,rebar,,,295,CEMEX_225_1900_B,0.14583333,0.065,,0.004375,,,
floor,cemex_bb_225_1900_b,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,3.5,1.56,2,7.719,concrete,screed,,rebar,,,295,CEMEX_225_1900_B,0.14583333,0.065,,0.004375,,,
floor,cemex_bb_225_1900_b,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,3.5,1.56,2.5,7.565,concrete,screed,,rebar,,,295,CEMEX_225_1900_B,0.14583333,0.065,,0.004375,,,
floor,cemex_bb_225_1900_b,precast,beam_block,one-way,cemex,metric,,0.1,0.225,0.1,0.065,,3.5,1.56,3,7.419,concrete,screed,,rebar,,,295,CEMEX_225_1900_B,0.14583333,0.065,,0.004375,,,
