system_variant,system_family,unit,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,concrete_volume,screed_volume,steel_volume,rebar_volume,pt_volume,timber_volume,material_concrete_id,material_screed_id,material_pt_id,material_steel_id,material_rebar_id,material_timber_id,ebc_mm,beam_ref,source
bison_bb_ij2_5,bison_bb_ij2,metric,0.15,0.1,0.075,,1.96,1.8,4.0,3.75,0.08166667,0.075,,0.00245,,,concrete,screed,,,rebar,,413.0,IJ2,
bison_bb_ij2_6,bison_bb_ij2,metric,0.15,0.1,0.075,,1.96,1.8,5.0,3.5,0.08166667,0.075,,0.00245,,,concrete,screed,,,rebar,,413.0,IJ2,
bison_bb_ij3_1,bison_bb_ij3,metric,0.15,0.1,0.075,,2.15,1.8,1.5,5.3,0.08958333,0.075,,0.0026875,,,concrete,screed,,,rebar,,300.0,IJ3,
bison_bb_ij3_2,bison_bb_ij3,metric,0.15,0.1,0.075,,2.15,1.8,2.0,5.05,0.08958333,0.075,,0.0026875,,,concrete,screed,,,rebar,,300.0,IJ3,
bison_bb_ij3_3,bison_bb_ij3,metric,0.15,0.1,0.075,,2.15,1.8,2.5,4.85,0.08958333,0.075,,0.0026875,,,concrete,screed,,,rebar,,300.0,IJ3,
bison_bb_ij3_4,bison_bb_ij3,metric,0.15,0.1,0.075,,2.15,1.8,3.0,4.65,0.08958333,0.075,,0.0026875,,,concrete,screed,,,rebar,,300.0,IJ3,
bison_bb_ij3_5,bison_bb_ij3,metric,0.15,0.1,0.075,,2.15,1.8,4.0,4.35,0.08958333,0.075,,0.0026875,,,concrete,screed,,,rebar,,300.0,IJ3,
bison_bb_ij3_6,bison_bb_ij3,metric,0.15,0.1,0.075,,2.15,1.8,5.0,4.1,0.08958333,0.075,,0.0026875,,,concrete,screed,,,rebar,,300.0,IJ3,
bison_bb_rdj4_1,bison_bb_rdj4,metric,0.15,0.1,0.075,,2.1,1.8,1.5,5.35,0.0875,0.075,,0.002625,,,concrete,screed,,,rebar,,615.0,RDJ4,
bison_bb_rdj4_2,bison_bb_rdj4,metric,0.15,0.1,0.075,,2.1,1.8,2.0,5.1,0.0875,0.075,,0.002625,,,concrete,screed,,,rebar,,615.0,RDJ4,
bison_bb_rdj4_3,bison_bb_rdj4,metric,0.15,0.1,0.075,,2.1,1.8,2.5,4.9,0.0875,0.075,,0.002625,,,concrete,screed,,,rebar,,615.0,RDJ4,
bison_bb_rdj4_4,bison_bb_rdj4,metric,0.15,0.1,0.075,,2.1,1.8,3.0,4.75,0.0875,0.075,,0.002625,,,concrete,screed,,,rebar,,615.0,RDJ4,
bison_bb_rdj4_5,bison_bb_rdj4,metric,0.15,0.1,0.075,,2.1,1.8,4.0,4.4,0.0875,0.075,,0.002625,,,concrete,screed,,,rebar,,615.0,RDJ4,
bison_bb_rdj4_6,bison_bb_rdj4,metric,0.15,0.1,0.075,,2.1,1.8,5.0,4.15,0.0875,0.075,,0.002625,,,concrete,screed,,,rebar,,615.0,RDJ4,
bison_bb_rdj5_1,bison_bb_rdj5,metric,0.15,0.1,0.075,,2.25,1.8,1.5,5.85,0.09375,0.075,,0.0028125,,,concrete,screed,,,rebar,,503.0,RDJ5,
bison_bb_rdj5_2,bison_bb_rdj5,metric,0.15,0.1,0.075,,2.25,1.8,2.0,5.6,0.09375,0.075,,0.0028125,,,concrete,screed,,,rebar,,503.0,RDJ5,
bison_bb_rdj5_3,bison_bb_rdj5,metric,0.15,0.1,0.075,,2.25,1.8,2.5,5.4,0.09375,0.075,,0.0028125,,,concrete,screed,,,rebar,,503.0,RDJ5,
bison_bb_rdj5_4,bison_bb_rdj5,metric,0.15,0.1,0.075,,2.25,1.8,3.0,5.2,0.09375,0.075,,0.0028125,,,concrete,screed,,,rebar,,503.0,RDJ5,
bison_bb_rdj5_5,bison_bb_rdj5,metric,0.15,0.1,0.075,,2.25,1.8,4.0,4.85,0.09375,0.075,,0.0028125,,,concrete,screed,,,rebar,,503.0,RDJ5,
bison_bb_rdj5_6,bison_bb_rdj5,metric,0.15,0.1,0.075,,2.25,1.8,5.0,4.55,0.09375,0.075,,0.0028125,,,concrete,screed,,,rebar,,503.0,RDJ5,
bison_bb_rdj6_1,bison_bb_rdj6,metric,0.15,0.1,0.075,,2.47,1.8,1.5,6.45,0.10291667,0.075,,0.0030875,,,concrete,screed,,,rebar,,390.0,RDJ6,
bison_bb_rdj6_2,bison_bb_rdj6,metric,0.15,0.1,0.075,,2.47,1.8,2.0,6.25,0.10291667,0.075,,0.0030875,,,concrete,screed,,,rebar,,390.0,RDJ6,
bison_bb_rdj6_3,bison_bb_rdj6,metric,0.15,0.1,0.075,,2.47,1.8,2.5,6.05,0.10291667,0.075,,0.0030875,,,concrete,screed,,,rebar,,390.0,RDJ6,
bison_bb_rdj6_4,bison_bb_rdj6,metric,0.15,0.1,0.075,,2.47,1.8,3.0,5.8,0.10291667,0.075,,0.0030875,,,concrete,screed,,,rebar,,390.0,RDJ6,
bison_bb_rdj6_5,bison_bb_rdj6,metric,0.15,0.1,0.075,,2.47,1.8,4.0,5.45,0.10291667,0.075,,0.0030875,,,concrete,screed,,,rebar,,390.0,RDJ6,
bison_bb_rdj6_6,bison_bb_rdj6,metric,0.15,0.1,0.075,,2.47,1.8,5.0,5.15,0.10291667,0.075,,0.0030875,,,concrete,screed,,,rebar,,390.0,RDJ6,
bison_bb_tj1_1,bison_bb_tj1,metric,0.225,0.1,0.075,,2.3,1.8,1.5,6.45,0.09583333,0.075,,0.002875,,,concrete,screed,,,rebar,,535.0,TJ1,
bison_bb_tj1_2,bison_bb_tj1,metric,0.225,0.1,0.075,,2.3,1.8,2.0,6.15,0.09583333,0.075,,0.002875,,,concrete,screed,,,rebar,,535.0,TJ1,
bison_bb_tj1_3,bison_bb_tj1,metric,0.225,0.1,0.075,,2.3,1.8,2.5,5.9,0.09583333,0.075,,0.002875,,,concrete,screed,,,rebar,,535.0,TJ1,
bison_bb_tj1_4,bison_bb_tj1,metric,0.225,0.1,0.075,,2.3,1.8,3.0,5.7,0.09583333,0.075,,0.002875,,,concrete,screed,,,rebar,,535.0,TJ1,
bison_bb_tj1_5,bison_bb_tj1,metric,0.225,0.1,0.075,,2.3,1.8,4.0,5.35,0.09583333,0.075,,0.002875,,,concrete,screed,,,rebar,,535.0,TJ1,
bison_bb_tj1_6,bison_bb_tj1,metric,0.225,0.1,0.075,,2.3,1.8,5.0,5.0,0.09583333,0.075,,0.002875,,,concrete,screed,,,rebar,,535.0,TJ1,
bison_bb_tj2_1,bison_bb_tj2,metric,0.225,0.1,0.075,,2.51,1.8,1.5,7.1,0.10458333,0.075,,0.0031375,,,concrete,screed,,,rebar,,422.0,TJ2,
bison_bb_tj2_2,bison_bb_tj2,metric,0.225,0.1,0.075,,2.51,1.8,2.0,6.8,0.10458333,0.075,,0.0031375,,,concrete,screed,,,rebar,,422.0,TJ2,
bison_bb_tj2_3,bison_bb_tj2,metric,0.225,0.1,0.075,,2.51,1.8,2.5,6.55,0.10458333,0.075,,0.0031375,,,concrete,screed,,,rebar,,422.0,TJ2,
bison_bb_tj2_4,bison_bb_tj2,metric,0.225,0.1,0.075,,2.51,1.8,3.0,6.35,0.10458333,0.075,,0.0031375,,,concrete,screed,,,rebar,,422.0,TJ2,
bison_bb_tj2_5,bison_bb_tj2,metric,0.225,0.1,0.075,,2.51,1.8,4.0,5.95,0.10458333,0.075,,0.0031375,,,concrete,screed,,,rebar,,422.0,TJ2,
bison_bb_tj2_6,bison_bb_tj2,metric,0.225,0.1,0.075,,2.51,1.8,5.0,5.6,0.10458333,0.075,,0.0031375,,,concrete,screed,,,rebar,,422.0,TJ2,
bison_bb_tj3_1,bison_bb_tj3,metric,0.225,0.1,0.075,,2.89,1.8,1.5,7.75,0.12041667,0.075,,0.0036125,,,concrete,screed,,,rebar,,310.0,TJ3,
bison_bb_tj3_2,bison_bb_tj3,metric,0.225,0.1,0.075,,2.89,1.8,2.0,7.75,0.12041667,0.075,,0.0036125,,,concrete,screed,,,rebar,,310.0,TJ3,
bison_bb_tj3_3,bison_bb_tj3,metric,0.225,0.1,0.075,,2.89,1.8,2.5,7.45,0.12041667,0.075,,0.0036125,,,concrete,screed,,,rebar,,310.0,TJ3,
bison_bb_tj3_4,bison_bb_tj3,metric,0.225,0.1,0.075,,2.89,1.8,3.0,7.2,0.12041667,0.075,,0.0036125,,,concrete,screed,,,rebar,,310.0,TJ3,
bison_bb_tj3_5,bison_bb_tj3,metric,0.225,0.1,0.075,,2.89,1.8,4.0,6.8,0.12041667,0.075,,0.0036125,,,concrete,screed,,,rebar,,310.0,TJ3,
bison_bb_tj3_6,bison_bb_tj3,metric,0.225,0.1,0.075,,2.89,1.8,5.0,6.4,0.12041667,0.075,,0.0036125,,,concrete,screed,,,rebar,,310.0,TJ3,
cemex_bb_155_a_1,cemex_bb_155_a,metric,0.155,0.1,0.065,,2.28,1.56,1.5,4.48,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,520.0,CEMEX_155_A,
cemex_bb_155_a_2,cemex_bb_155_a,metric,0.155,0.1,0.065,,2.28,1.56,2.0,4.36,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,520.0,CEMEX_155_A,
cemex_bb_155_a_3,cemex_bb_155_a,metric,0.155,0.1,0.065,,2.28,1.56,2.5,4.25,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,520.0,CEMEX_155_A,
cemex_bb_155_a_4,cemex_bb_155_a,metric,0.155,0.1,0.065,,2.28,1.56,3.0,4.15,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,520.0,CEMEX_155_A,
cemex_bb_155_a_5,cemex_bb_155_a,metric,0.155,0.1,0.065,,2.28,1.56,4.0,3.905,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,520.0,CEMEX_155_A,
cemex_bb_155_a_6,cemex_bb_155_a,metric,0.155,0.1,0.065,,2.28,1.56,5.0,3.66,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,520.0,CEMEX_155_A,
cemex_bb_155_b_1,cemex_bb_155_b,metric,0.155,0.1,0.065,,2.6,1.56,1.5,5.73,0.10833333,0.065,,0.00325,,,concrete,screed,,,rebar,,295.0,CEMEX_155_B,
cemex_bb_155_b_2,cemex_bb_155_b,metric,0.155,0.1,0.065,,2.6,1.56,2.0,5.61,0.10833333,0.065,,0.00325,,,concrete,screed,,,rebar,,295.0,CEMEX_155_B,
cemex_bb_155_b_3,cemex_bb_155_b,metric,0.155,0.1,0.065,,2.6,1.56,2.5,5.48,0.10833333,0.065,,0.00325,,,concrete,screed,,,rebar,,295.0,CEMEX_155_B,
cemex_bb_155_b_4,cemex_bb_155_b,metric,0.155,0.1,0.065,,2.6,1.56,3.0,5.36,0.10833333,0.065,,0.00325,,,concrete,screed,,,rebar,,295.0,CEMEX_155_B,
cemex_bb_155_b_5,cemex_bb_155_b,metric,0.155,0.1,0.065,,2.6,1.56,4.0,5.09,0.10833333,0.065,,0.00325,,,concrete,screed,,,rebar,,295.0,CEMEX_155_B,
cemex_bb_155_b_6,cemex_bb_155_b,metric,0.155,0.1,0.065,,2.6,1.56,5.0,4.78,0.10833333,0.065,,0.00325,,,concrete,screed,,,rebar,,295.0,CEMEX_155_B,
cemex_bb_155_c_1,cemex_bb_155_c,metric,0.155,0.1,0.065,,2.39,1.56,1.5,4.995,0.09958333,0.065,,0.0029875,,,concrete,screed,,,rebar,,408.0,CEMEX_155_C,
cemex_bb_155_c_2,cemex_bb_155_c,metric,0.155,0.1,0.065,,2.39,1.56,2.0,4.865,0.09958333,0.065,,0.0029875,,,concrete,screed,,,rebar,,408.0,CEMEX_155_C,
cemex_bb_155_c_3,cemex_bb_155_c,metric,0.155,0.1,0.065,,2.39,1.56,2.5,4.748,0.09958333,0.065,,0.0029875,,,concrete,screed,,,rebar,,408.0,CEMEX_155_C,
cemex_bb_155_c_4,cemex_bb_155_c,metric,0.155,0.1,0.065,,2.39,1.56,3.0,4.64,0.09958333,0.065,,0.0029875,,,concrete,screed,,,rebar,,408.0,CEMEX_155_C,
cemex_bb_155_c_5,cemex_bb_155_c,metric,0.155,0.1,0.065,,2.39,1.56,4.0,4.378,0.09958333,0.065,,0.0029875,,,concrete,screed,,,rebar,,408.0,CEMEX_155_C,
cemex_bb_155_c_6,cemex_bb_155_c,metric,0.155,0.1,0.065,,2.39,1.56,5.0,4.105,0.09958333,0.065,,0.0029875,,,concrete,screed,,,rebar,,408.0,CEMEX_155_C,
cemex_bb_155_d_1,cemex_bb_155_d,metric,0.155,0.1,0.065,,2.57,1.56,1.5,5.52,0.10708333,0.065,,0.0032125,,,concrete,screed,,,rebar,,324.0,CEMEX_155_D,
cemex_bb_155_d_2,cemex_bb_155_d,metric,0.155,0.1,0.065,,2.57,1.56,2.0,5.37,0.10708333,0.065,,0.0032125,,,concrete,screed,,,rebar,,324.0,CEMEX_155_D,
cemex_bb_155_d_3,cemex_bb_155_d,metric,0.155,0.1,0.065,,2.57,1.56,2.5,5.244,0.10708333,0.065,,0.0032125,,,concrete,screed,,,rebar,,324.0,CEMEX_155_D,
cemex_bb_155_d_4,cemex_bb_155_d,metric,0.155,0.1,0.065,,2.57,1.56,3.0,5.13,0.10708333,0.065,,0.0032125,,,concrete,screed,,,rebar,,324.0,CEMEX_155_D,
cemex_bb_155_d_5,cemex_bb_155_d,metric,0.155,0.1,0.065,,2.57,1.56,4.0,4.874,0.10708333,0.065,,0.0032125,,,concrete,screed,,,rebar,,324.0,CEMEX_155_D,
cemex_bb_155_d_6,cemex_bb_155_d,metric,0.155,0.1,0.065,,2.57,1.56,5.0,4.574,0.10708333,0.065,,0.0032125,,,concrete,screed,,,rebar,,324.0,CEMEX_155_D,
cemex_bb_155_e_1,cemex_bb_155_e,metric,0.155,0.1,0.065,,2.95,1.56,1.5,5.9,0.12291667,0.065,,0.0036875,,,concrete,screed,,,rebar,,211.0,CEMEX_155_E,
cemex_bb_155_e_2,cemex_bb_155_e,metric,0.155,0.1,0.065,,2.95,1.56,2.0,5.9,0.12291667,0.065,,0.0036875,,,concrete,screed,,,rebar,,211.0,CEMEX_155_E,
cemex_bb_155_e_3,cemex_bb_155_e,metric,0.155,0.1,0.065,,2.95,1.56,2.5,5.9,0.12291667,0.065,,0.0036875,,,concrete,screed,,,rebar,,211.0,CEMEX_155_E,
cemex_bb_155_e_4,cemex_bb_155_e,metric,0.155,0.1,0.065,,2.95,1.56,3.0,5.9,0.12291667,0.065,,0.0036875,,,concrete,screed,,,rebar,,211.0,CEMEX_155_E,
cemex_bb_155_e_5,cemex_bb_155_e,metric,0.155,0.1,0.065,,2.95,1.56,4.0,5.83,0.12291667,0.065,,0.0036875,,,concrete,screed,,,rebar,,211.0,CEMEX_155_E,
cemex_bb_155_e_6,cemex_bb_155_e,metric,0.155,0.1,0.065,,2.95,1.56,5.0,5.564,0.12291667,0.065,,0.0036875,,,concrete,screed,,,rebar,,211.0,CEMEX_155_E,
cemex_bb_155_1450_a_1,cemex_bb_155_1450_a,metric,0.155,0.1,0.065,,1.91,1.56,1.5,4.67,0.07958333,0.065,,0.0023875,,,concrete,screed,,,rebar,,520.0,CEMEX_155_1450_A,
cemex_bb_155_1450_a_2,cemex_bb_155_1450_a,metric,0.155,0.1,0.065,,1.91,1.56,2.0,4.54,0.07958333,0.065,,0.0023875,,,concrete,screed,,,rebar,,520.0,CEMEX_155_1450_A,
cemex_bb_155_1450_a_3,cemex_bb_155_1450_a,metric,0.155,0.1,0.065,,1.91,1.56,2.5,4.42,0.07958333,0.065,,0.0023875,,,concrete,screed,,,rebar,,520.0,CEMEX_155_1450_A,
cemex_bb_155_1450_a_4,cemex_bb_155_1450_a,metric,0.155,0.1,0.065,,1.91,1.56,3.0,4.306,0.07958333,0.065,,0.0023875,,,concrete,screed,,,rebar,,520.0,CEMEX_155_1450_A,
cemex_bb_155_1450_a_5,cemex_bb_155_1450_a,metric,0.155,0.1,0.065,,1.91,1.56,4.0,3.99,0.07958333,0.065,,0.0023875,,,concrete,screed,,,rebar,,520.0,CEMEX_155_1450_A,
cemex_bb_155_1450_a_6,cemex_bb_155_1450_a,metric,0.155,0.1,0.065,,1.91,1.56,5.0,3.73,0.07958333,0.065,,0.0023875,,,concrete,screed,,,rebar,,520.0,CEMEX_155_1450_A,
cemex_bb_155_1450_b_1,cemex_bb_155_1450_b,metric,0.155,0.1,0.065,,2.28,1.56,1.5,5.9,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,295.0,CEMEX_155_1450_B,
cemex_bb_155_1450_b_2,cemex_bb_155_1450_b,metric,0.155,0.1,0.065,,2.28,1.56,2.0,5.78,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,295.0,CEMEX_155_1450_B,
cemex_bb_155_1450_b_3,cemex_bb_155_1450_b,metric,0.155,0.1,0.065,,2.28,1.56,2.5,5.65,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,295.0,CEMEX_155_1450_B,
cemex_bb_155_1450_b_4,cemex_bb_155_1450_b,metric,0.155,0.1,0.065,,2.28,1.56,3.0,5.517,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,295.0,CEMEX_155_1450_B,
cemex_bb_155_1450_b_5,cemex_bb_155_1450_b,metric,0.155,0.1,0.065,,2.28,1.56,4.0,5.185,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,295.0,CEMEX_155_1450_B,
cemex_bb_155_1450_b_6,cemex_bb_155_1450_b,metric,0.155,0.1,0.065,,2.28,1.56,5.0,4.858,0.095,0.065,,0.00285,,,concrete,screed,,,rebar,,295.0,CEMEX_155_1450_B,
cemex_bb_155_1450_c_1,cemex_bb_155_1450_c,metric,0.155,0.1,0.065,,2.04,1.56,1.5,5.195,0.085,0.065,,0.00255,,,concrete,screed,,,rebar,,408.0,CEMEX_155_1450_C,
cemex_bb_155_1450_c_2,cemex_bb_155_1450_c,metric,0.155,0.1,0.065,,2.04,1.56,2.0,5.05,0.085,0.065,,0.00255,,,concrete,screed,,,rebar,,408.0,CEMEX_155_1450_C,
cemex_bb_155_1450_c_3,cemex_bb_155_1450_c,metric,0.155,0.1,0.065,,2.04,1.56,2.5,4.92,0.085,0.065,,0.00255,,,concrete,screed,,,rebar,,408.0,CEMEX_155_1450_C,
cemex_bb_155_1450_c_4,cemex_bb_155_1450_c,metric,0.155,0.1,0.065,,2.04,1.56,3.0,4.8,0.085,0.065,,0.00255,,,concrete,screed,,,rebar,,408.0,CEMEX_155_1450_C,
cemex_bb_155_1450_c_5,cemex_bb_155_1450_c,metric,0.155,0.1,0.065,,2.04,1.56,4.0,4.47,0.085,0.065,,0.00255,,,concrete,screed,,,rebar,,408.0,CEMEX_155_1450_C,
cemex_bb_155_1450_c_6,cemex_bb_155_1450_c,metric,0.155,0.1,0.065,,2.04,1.56,5.0,4.18,0.085,0.065,,0.00255,,,concrete,screed,,,rebar,,408.0,CEMEX_155_1450_C,
cemex_bb_155_1450_d_1,cemex_bb_155_1450_d,metric,0.155,0.1,0.065,,2.27,1.56,1.5,5.684,0.09458333,0.065,,0.0028375,,,concrete,screed,,,rebar,,324.0,CEMEX_155_1450_D,
cemex_bb_155_1450_d_2,cemex_bb_155_1450_d,metric,0.155,0.1,0.065,,2.27,1.56,2.0,5.538,0.09458333,0.065,,0.0028375,,,concrete,screed,,,rebar,,324.0,CEMEX_155_1450_D,
cemex_bb_155_1450_d_3,cemex_bb_155_1450_d,metric,0.155,0.1,0.065,,2.27,1.56,2.5,5.404,0.09458333,0.065,,0.0028375,,,concrete,screed,,,rebar,,324.0,CEMEX_155_1450_D,
cemex_bb_155_1450_d_4,cemex_bb_155_1450_d,metric,0.155,0.1,0.065,,2.27,1.56,3.0,5.28,0.09458333,0.065,,0.0028375,,,concrete,screed,,,rebar,,324.0,CEMEX_155_1450_D,
cemex_bb_155_1450_d_5,cemex_bb_155_1450_d,metric,0.155,0.1,0.065,,2.27,1.56,4.0,4.96,0.09458333,0.065,,0.0028375,,,concrete,screed,,,rebar,,324.0,CEMEX_155_1450_D,
cemex_bb_155_1450_d_6,cemex_bb_155_1450_d,metric,0.155,0.1,0.065,,2.27,1.56,5.0,4.644,0.09458333,0.065,,0.0028375,,,concrete,screed,,,rebar,,324.0,CEMEX_155_1450_D,
cemex_bb_155_1450_e_1,cemex_bb_155_1450_e,metric,0.155,0.1,0.065,,2.72,1.56,1.5,5.9,0.11333333,0.065,,0.0034,,,concrete,screed,,,rebar,,211.0,CEMEX_155_1450_E,
cemex_bb_155_1450_e_2,cemex_bb_155_1450_e,metric,0.155,0.1,0.065,,2.72,1.56,2.0,5.9,0.11333333,0.065,,0.0034,,,concrete,screed,,,rebar,,211.0,CEMEX_155_1450_E,
cemex_bb_155_1450_e_3,cemex_bb_155_1450_e,metric,0.155,0.1,0.065,,2.72,1.56,2.5,5.9,0.11333333,0.065,,0.0034,,,concrete,screed,,,rebar,,211.0,CEMEX_155_1450_E,
cemex_bb_155_1450_e_4,cemex_bb_155_1450_e,metric,0.155,0.1,0.065,,2.72,1.56,3.0,5.9,0.11333333,0.065,,0.0034,,,concrete,screed,,,rebar,,211.0,CEMEX_155_1450_E,
cemex_bb_155_1450_e_5,cemex_bb_155_1450_e,metric,0.155,0.1,0.065,,2.72,1.56,4.0,5.9,0.11333333,0.065,,0.0034,,,concrete,screed,,,rebar,,211.0,CEMEX_155_1450_E,
cemex_bb_155_1450_e_6,cemex_bb_155_1450_e,metric,0.155,0.1,0.065,,2.72,1.56,5.0,5.63,0.11333333,0.065,,0.0034,,,concrete,screed,,,rebar,,211.0,CEMEX_155_1450_E,
cemex_bb_225_1900_a_1,cemex_bb_225_1900_a,metric,0.225,0.1,0.065,,2.82,1.56,1.5,6.408,0.1175,0.065,,0.003525,,,concrete,screed,,,rebar,,520.0,CEMEX_225_1900_A,
cemex_bb_225_1900_a_2,cemex_bb_225_1900_a,metric,0.225,0.1,0.065,,2.82,1.56,2.0,6.257,0.1175,0.065,,0.003525,,,concrete,screed,,,rebar,,520.0,CEMEX_225_1900_A,
cemex_bb_225_1900_a_3,cemex_bb_225_1900_a,metric,0.225,0.1,0.065,,2.82,1.56,2.5,6.117,0.1175,0.065,,0.003525,,,concrete,screed,,,rebar,,520.0,CEMEX_225_1900_A,
cemex_bb_225_1900_a_4,cemex_bb_225_1900_a,metric,0.225,0.1,0.065,,2.82,1.56,3.0,5.985,0.1175,0.065,,0.003525,,,concrete,screed,,,rebar,,520.0,CEMEX_225_1900_A,
cemex_bb_225_1900_a_5,cemex_bb_225_1900_a,metric,0.225,0.1,0.065,,2.82,1.56,4.0,5.697,0.1175,0.065,,0.003525,,,concrete,screed,,,rebar,,520.0,CEMEX_225_1900_A,
cemex_bb_225_1900_a_6,cemex_bb_225_1900_a,metric,0.225,0.1,0.065,,2.82,1.56,5.0,5.358,0.1175,0.065,,0.003525,,,concrete,screed,,,rebar,,520.0,CEMEX_225_1900_A,
cemex_bb_225_1900_b_1,cemex_bb_225_1900_b,metric,0.225,0.1,0.065,,3.5,1.56,1.5,7.874,0.14583333,0.065,,0.004375,,,concrete,screed,,,rebar,,295.0,CEMEX_225_1900_B,
cemex_bb_225_1900_b_2,cemex_bb_225_1900_b,metric,0.225,0.1,0.065,,3.5,1.56,2.0,7.719,0.14583333,0.065,,0.004375,,,concrete,screed,,,rebar,,295.0,CEMEX_225_1900_B,
cemex_bb_225_1900_b_3,cemex_bb_225_1900_b,metric,0.225,0.1,0.065,,3.5,1.56,2.5,7.565,0.14583333,0.065,,0.004375,,,concrete,screed,,,rebar,,295.0,CEMEX_225_1900_B,
cemex_bb_225_1900_b_4,cemex_bb_225_1900_b,metric,0.225,0.1,0.065,,3.5,1.56,3.0,7.419,0.14583333,0.065,,0.004375,,,concrete,screed,,,rebar,,295.0,CEMEX_225_1900_B,
cemex_bb_225_1900_b_5,cemex_bb_225_1900_b,metric,0.225,0.1,0.065,,3.5,1.56,4.0,7.15,0.14583333,0.065,,0.004375,,,concrete,screed,,,rebar,,295.0,CEMEX_225_1900_B,
cemex_bb_225_1900_b_6,cemex_bb_225_1900_b,metric,0.225,0.1,0.065,,3.5,1.56,5.0,6.798,0.14583333,0.065,,0.004375,,,concrete,screed,,,rebar,,295.0,CEMEX_225_1900_B,
cemex_bb_225_1900_c_1,cemex_bb_225_1900_c,metric,0.225,0.1,0.065,,3.07,1.56,1.5,7.028,0.12791667,0.065,,0.0038375,,,concrete,screed,,,rebar,,408.0,CEMEX_225_1900_C,
cemex_bb_225_1900_c_2,cemex_bb_225_1900_c,metric,0.225,0.1,0.065,,3.07,1.56,2.0,6.87,0.12791667,0.065,,0.0038375,,,concrete,screed,,,rebar,,408.0,CEMEX_225_1900_C,
cemex_bb_225_1900_c_3,cemex_bb_225_1900_c,metric,0.225,0.1,0.065,,3.07,1.56,2.5,6.723,0.12791667,0.065,,0.0038375,,,concrete,screed,,,rebar,,408.0,CEMEX_225_1900_C,
cemex_bb_225_1900_c_4,cemex_bb_225_1900_c,metric,0.225,0.1,0.065,,3.07,1.56,3.0,6.584,0.12791667,0.065,,0.0038375,,,concrete,screed,,,rebar,,408.0,CEMEX_225_1900_C,
cemex_bb_225_1900_c_5,cemex_bb_225_1900_c,metric,0.225,0.1,0.065,,3.07,1.56,4.0,6.136,0.12791667,0.065,,0.0038375,,,concrete,screed,,,rebar,,408.0,CEMEX_225_1900_C,
